,title,date,type,CVE,lien,description,CVSS,EPSS,version,product,editeur,CWE,base_severity
CERTFR-2021-ALE-001,|MàJ] Vulnérabilité dans SonicWall SMA100,2021-01-23,alerte,CVE-2014-6271,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2021-ALE-001/,"GNU Bash through 4.3 processes trailing strings after function definitions in the values of environment variables, which allows remote attackers to execute arbitrary code via a crafted environment, as demonstrated by vectors involving the ForceCommand feature in OpenSSH sshd, the mod_cgi and mod_cgid modules in the Apache HTTP Server, scripts executed by unspecified DHCP clients, and other situations in which setting the environment occurs across a privilege boundary from Bash execution, aka ""ShellShock.""  NOTE: the original fix for this issue was incorrect; CVE-2014-7169 has been assigned to cover the vulnerability that is still present after the incorrect fix.",,0.972140000,['n/a'],n/a,n/a,Non disponible,LOW
CERTFR-2021-ALE-002,[MàJ] Vulnérabilité dans Google Chrome et Microsoft Edge,,alerte,CVE-2021-21148,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2021-ALE-002/,Heap buffer overflow in V8 in Google Chrome prior to 88.0.4324.150 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.,,0.014310000,['unspecified'],Chrome,Google,Non disponible,LOW
CERTFR-2021-ALE-003,[MàJ] Vulnérabilité dans VMware vCenter Server,2021-02-12,alerte,CVE-2021-21972,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2021-ALE-003/,"The vSphere Client (HTML5) contains a remote code execution vulnerability in a vCenter Server plugin. A malicious actor with network access to port 443 may exploit this issue to execute commands with unrestricted privileges on the underlying operating system that hosts vCenter Server. This affects VMware vCenter Server (7.x before 7.0 U1c, 6.7 before 6.7 U3l and 6.5 before 6.5 U3n) and VMware Cloud Foundation (4.x before 4.2 and 3.x before 3.10.1.2).",,0.974190000,"['4.x before 4.2', '3.x before 3.10.1.2']",VMware Cloud Foundation,n/a,Non disponible,LOW
CERTFR-2021-ALE-005,Multiples vulnérabilités dans Microsoft DNS server,2021-03-09,alerte,CVE-2021-26897,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2021-ALE-005/,Windows DNS Server Remote Code Execution Vulnerability,9.8,0.050730000,['6.3.0'],Windows Server 2012 R2 (Server Core installation),Microsoft,Non disponible,CRITICAL
CERTFR-2021-ALE-009,[MàJ] Vulnérabilité dans Microsoft Windows,,alerte,CVE-2021-31166,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2021-ALE-009/,HTTP Protocol Stack Remote Code Execution Vulnerability,9.8,0.961290000,['10.0.0'],Windows Server version 20H2,Microsoft,Non disponible,CRITICAL
CERTFR-2021-ALE-010,Vulnérabilité dans Adobe Acrobat et Acrobat Reader,,alerte,CVE-2021-28550,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2021-ALE-010/,"Acrobat Reader DC versions versions 2021.001.20150 (and earlier), 2020.001.30020 (and earlier) and 2017.011.30194 (and earlier) are affected by a Use After Free vulnerability. An unauthenticated attacker could leverage this vulnerability to achieve arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.",9.6,0.369270000,"['unspecified', 'unspecified', 'unspecified', 'unspecified']",Acrobat Reader,Adobe,CWE-416,CRITICAL
CERTFR-2021-ALE-011,Vulnérabilité dans VMware vCenter Server,2021-05-25,alerte,CVE-2021-21985,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2021-ALE-011/,The vSphere Client (HTML5) contains a remote code execution vulnerability due to lack of input validation in the Virtual SAN Health Check plug-in which is enabled by default in vCenter Server. A malicious actor with network access to port 443 may exploit this issue to execute commands with unrestricted privileges on the underlying operating system that hosts vCenter Server.,,0.974230000,"['VMware vCenter Server (7.x before 7.0 U2b, 6.7 before 6.7 U3n, 6.5 before 6.5 U3p) and VMware Cloud Foundation (4.x before 4.2.1, 3.x before 3.10.2.1)']",VMware vCenter Server and VMware Cloud Foundation,n/a,Non disponible,LOW
CERTFR-2021-ALE-012,Multiples vulnérabilités dans Microsoft Windows,,alerte,CVE-2021-31955,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2021-ALE-012/,Windows Kernel Information Disclosure Vulnerability,5.5,0.013740000,['10.0.0'],Windows Server version 20H2,Microsoft,Non disponible,MEDIUM
CERTFR-2021-ALE-014,[MaJ] Multiples vulnérabilités dans Microsoft Windows,2021-08-11,alerte,CVE-2021-34481,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2021-ALE-014/,"<p>A remote code execution vulnerability exists when the Windows Print Spooler service improperly performs privileged file operations. An attacker who successfully exploited this vulnerability could run arbitrary code with SYSTEM privileges. An attacker could then install programs; view, change, or delete data; or create new accounts with full user rights.</p>
<p><strong>UPDATE</strong> August 10, 2021: Microsoft has completed the investigation and has released security updates to address this vulnerability. Please see the Security Updates table for the applicable update for your system. We recommend that you install these updates immediately. This security update changes the Point and Print default behavior; please see <a href=""https://support.microsoft.com/help/5005652"">KB5005652</a>.</p>
",8.8,0.004290000,['6.3.0'],Windows Server 2012 R2 (Server Core installation),Microsoft,Non disponible,HIGH
CERTFR-2021-ALE-020,[Maj] Multiples vulnérabilités dans Microsoft Azure Open Management Infrastructure,2021-09-16,alerte,CVE-2021-38648,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2021-ALE-020/,Open Management Infrastructure Elevation of Privilege Vulnerability,7.8,0.958240000,"['1.0.0', '1.0.0']",Azure Stack Hub,Microsoft,Non disponible,HIGH
CERTFR-2022-ALE-001,[MaJ] Vulnérabilité dans Microsoft Windows,2022-01-12,alerte,CVE-2022-21907,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-001/,HTTP Protocol Stack Remote Code Execution Vulnerability,9.8,0.493170000,['10.0.19043.0'],Windows 10 Version 21H2,Microsoft,Non disponible,CRITICAL
CERTFR-2022-ALE-005,[MàJ] Vulnérabilité dans Microsoft Windows,2022-05-30,alerte,CVE-2022-30190,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-005/,"A remote code execution vulnerability exists when MSDT is called using the URL protocol from a calling application such as Word. An attacker who successfully exploits this vulnerability can run arbitrary code with the privileges of the calling application. The attacker can then install programs, view, change, or delete data, or create new accounts in the context allowed by the user’s rights.
Please see the MSRC Blog Entry for important information about steps you can take to protect your system from this vulnerability.",7.8,0.083400000,['6.3.9600.0'],Windows Server 2012 R2 (Server Core installation),Microsoft,Non disponible,HIGH
CERTFR-2022-ALE-007,Multiples vulnérabilités dans Microsoft Windows,,alerte,CVE-2022-34718,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-007/,Windows TCP/IP Remote Code Execution Vulnerability,9.8,0.007530000,['6.3.9600.0'],Windows Server 2012 R2 (Server Core installation),Microsoft,Non disponible,CRITICAL
CERTFR-2023-ALE-002,[MàJ] Vulnérabilité dans Microsoft Outlook,,alerte,CVE-2023-29324,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-002/,Windows MSHTML Platform Security Feature Bypass Vulnerability,6.5,0.116240000,['6.3.9600.0'],Windows Server 2012 R2 (Server Core installation),Microsoft,CWE-73,MEDIUM
CERTFR-2023-ALE-009,[MàJ] Multiples vulnérabilités dans Ivanti Endpoint Manager Mobile,,alerte,CVE-2023-35081,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-009/,"A path traversal vulnerability in Ivanti EPMM versions (11.10.x < 11.10.0.3,  11.9.x < 11.9.1.2 and 11.8.x < 11.8.1.2) allows an authenticated administrator to write arbitrary files onto the appliance.",7.2,0.772980000,['11.10.0.3'],EPMM,Ivanti,Non disponible,HIGH
CERTFR-2023-ALE-010,Multiples vulnérabilités dans Exim,2023-09-27,alerte,CVE-2023-42115,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-010/,"Exim AUTH Out-Of-Bounds Write Remote Code Execution Vulnerability. This vulnerability allows remote attackers to execute arbitrary code on affected installations of Exim. Authentication is not required to exploit this vulnerability. 

The specific flaw exists within the smtp service, which listens on TCP port 25 by default. The issue results from the lack of proper validation of user-supplied data, which can result in a write past the end of a buffer. An attacker can leverage this vulnerability to execute code in the context of the service account.
. Was ZDI-CAN-17434.",9.8,0.000750000,['exim 4.95'],Exim,Exim,CWE-787,CRITICAL
CERTFR-2023-ALE-015,[MàJ] Campagne d'exploitation d'une vulnérabilité affectant VMware ESXi,,alerte,CVE-2020-3992,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-015/,"OpenSLP as used in VMware ESXi (7.0 before ESXi_7.0.1-0.0.16850804, 6.7 before ESXi670-202010401-SG, 6.5 before ESXi650-202010401-SG) has a use-after-free issue. A malicious actor residing in the management network who has access to port 427 on an ESXi machine may be able to trigger a use-after-free in the OpenSLP service resulting in remote code execution.",,0.402050000,"['VMware ESXi (7.0 before ESXi_7.0.1-0.0.16850804, 6.7 before ESXi670-202010401-SG, 6.5 before ESXi650-202010401-SG)']",VMware ESXi,n/a,Non disponible,LOW
CERTFR-2024-ALE-002,[MàJ] Multiples Vulnérabilités dans GitLab,,alerte,CVE-2023-7028,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-002/,"An issue has been discovered in GitLab CE/EE affecting all versions from 16.1 prior to 16.1.6, 16.2 prior to 16.2.9, 16.3 prior to 16.3.7, 16.4 prior to 16.4.5, 16.5 prior to 16.5.6, 16.6 prior to 16.6.4, and 16.7 prior to 16.7.2 in which user account password reset emails could be delivered to an unverified email address.",10,0.926200000,"['16.1', '16.2', '16.3', '16.4', '16.5', '16.6', '16.7']",GitLab,GitLab,CWE-640,CRITICAL
CERTFR-2024-ALE-007,Multiples vulnérabilités dans les produits Cisco,2024-06-28,alerte,CVE-2024-20353,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-007/,"A vulnerability in the management and VPN web servers for Cisco Adaptive Security Appliance (ASA) Software and Cisco Firepower Threat Defense (FTD) Software could allow an unauthenticated, remote attacker to cause the device to reload unexpectedly, resulting in a denial of service (DoS) condition.
 This vulnerability is due to incomplete error checking when parsing an HTTP header. An attacker could exploit this vulnerability by sending a crafted HTTP request to a targeted web server on a device. A successful exploit could allow the attacker to cause a DoS condition when the device reloads.",8.6,0.001750000,"['6.2.3', '6.2.3.1', '6.2.3.2', '6.2.3.3', '6.2.3.4', '6.2.3.5', '6.2.3.6', '6.2.3.7', '6.2.3.8', '6.2.3.10', '6.2.3.11', '6.2.3.9', '6.2.3.12', '6.2.3.13', '6.2.3.14', '6.2.3.15', '6.2.3.16', '6.2.3.17', '6.2.3.18', '6.6.0', '6.6.0.1', '6.6.1', '6.6.3', '6.6.4', '6.6.5', '6.6.5.1', '6.6.5.2', '6.6.7', '6.6.7.1', '6.4.0', '6.4.0.1', '6.4.0.3', '6.4.0.2', '6.4.0.4', '6.4.0.5', '6.4.0.6', '6.4.0.7', '6.4.0.8', '6.4.0.9', '6.4.0.10', '6.4.0.11', '6.4.0.12', '6.4.0.13', '6.4.0.14', '6.4.0.15', '6.4.0.16', '6.4.0.17', '6.7.0', '6.7.0.1', '6.7.0.2', '6.7.0.3', '7.0.0', '7.0.0.1', '7.0.1', '7.0.1.1', '7.0.2', '7.0.2.1', '7.0.3', '7.0.4', '7.0.5', '7.0.6', '7.0.6.1', '7.1.0', '7.1.0.1', '7.1.0.2', '7.1.0.3', '7.2.0', '7.2.0.1', '7.2.1', '7.2.2', '7.2.3', '7.2.4', '7.2.4.1', '7.2.5', '7.2.5.1', '7.3.0', '7.3.1', '7.3.1.1', '7.4.0', '7.4.1']",Cisco Firepower Threat Defense Software,Cisco,CWE-835,HIGH
